"UNIT INFORMATION, 776 Super Units Found & 418 Extreme Units Found",,,,BASE STATS,,,,,,,55% NO DUPES STATS,,,,,,,100% RAINBOW STATS,,,,,
Character,Class,Type,,bHP,4.25,bATK,3.26,bDEF,4.43,,_55HP,4.12,_55ATK,3.15,_55DEF,4.20,,_100HP,3.90,_100ATK,2.99,_100DEF,3.74
EZA_Vanguard Warrior's True Value Super Saiyan 2 Gohan (Teen),Super,PHY,,"11,695",0.25,"11,268",0.52,"5,690",0.02,,"13,695",0.3,"13,268",0.57,"7,690",0.14,,"17,095",0.5,"16,268",0.57,"10,290",0.12
EZA_Gifted Warrior's Exaltation Super Saiyan Vegeta,Super,PHY,,"11,035",0.04,"9,694",-0.12,"7,601",1.16,,"13,035",0.1,"11,694",-0.03,"9,601",1.18,,"16,435",0.31,"14,694",0.04,"12,201",1
EZA_Confident of Victory Super Trunks,Super,STR,,"10,550",-0.12,"11,388",0.57,"5,726",0.04,,"12,550",-0.04,"13,388",0.62,"7,726",0.16,,"15,550",0.07,"16,788",0.74,"10,326",0.13
EZA_Convergent Fury Super Trunks,Super,PHY,,"11,882",0.31,"10,760",0.31,"5,847",0.11,,"13,882",0.36,"12,760",0.38,"7,847",0.22,,"17,282",0.55,"15,760",0.4,"10,447",0.19
EZA_The Love to Light the Future Mai (Future),Super,AGL,,"9,147",-0.56,"9,606",-0.15,"5,150",-0.3,,"11,147",-0.47,"11,606",-0.06,"7,150",-0.16,,"13,747",-0.43,"14,606",0.01,"10,550",0.24
EZA_Casual Refreshment Android #18,Extreme,TEQ,,"9,439",-0.47,"9,761",-0.09,"4,811",-0.51,,"11,439",-0.38,"11,761",0,"6,811",-0.35,,"14,039",-0.35,"15,161",0.2,"9,811",-0.1
EZA_Soaring Heart Videl,Super,INT,,"9,535",-0.44,"9,218",-0.31,"5,441",-0.13,,"11,535",-0.35,"11,218",-0.21,"7,441",0,,"14,535",-0.21,"14,218",-0.12,"10,441",0.19
EZA_Life of the Party Pan (GT),Super,STR,,"9,923",-0.31,"9,257",-0.29,"5,199",-0.27,,"11,923",-0.23,"11,257",-0.19,"7,199",-0.13,,"14,923",-0.11,"14,657",0.03,"9,799",-0.11
EZA_Searching for a Sweetheart Bulma (Youth),Super,PHY,,"9,678",-0.39,"9,193",-0.32,"5,072",-0.35,,"11,678",-0.31,"11,193",-0.22,"7,072",-0.2,,"15,078",-0.06,"14,193",-0.13,"9,672",-0.17
EZA_Dreadful Super Fusion Super Saiyan 2 Kefla,Super,PHY,,"11,093",0.06,"11,855",0.75,"5,507",-0.09,,"13,093",0.12,"13,855",0.79,"7,507",0.04,,"16,493",0.33,"16,855",0.77,"10,107",0.03
EZA_Humanity's Hope Super Saiyan Trunks (Future),Super,TEQ,,"11,035",0.04,"10,904",0.37,"6,089",0.26,,"13,035",0.1,"12,904",0.43,"8,089",0.36,,"15,635",0.09,"16,304",0.58,"11,089",0.49
EZA_God of Defiance Zamasu,Extreme,STR,,"13,092",0.69,"9,777",-0.08,"6,271",0.36,,"15,092",0.72,"11,777",0,"8,271",0.46,,"18,092",0.77,"15,177",0.2,"10,871",0.39
EZA_All-New Power Super Saiyan 3 Trunks (Teen),Super,AGL,,"13,358",0.77,"10,722",0.3,"7,700",1.22,,"15,358",0.8,"12,722",0.36,"9,700",1.24,,"17,958",0.74,"15,722",0.38,"13,100",1.42
EZA_Swirling Dark Magic Darkness Towa,Extreme,AGL,,"13,495",0.82,"11,050",0.43,"7,218",0.93,,"15,495",0.85,"13,050",0.49,"9,218",0.97,,"18,095",0.78,"16,050",0.5,"12,618",1.2
EZA_The Ultimate Evil and Hatred Baby Janemba,Extreme,AGL,,"11,332",0.13,"10,877",0.36,"6,309",0.39,,"13,332",0.19,"12,877",0.42,"8,309",0.48,,"15,932",0.17,"15,877",0.44,"11,709",0.78
EZA_Blazing Fusion Warrior Super Saiyan 3 Gotenks (Teen),Super,TEQ,,"12,723",0.57,"10,555",0.23,"5,942",0.17,,"14,723",0.61,"12,555",0.3,"7,942",0.27,,"17,323",0.56,"15,955",0.46,"10,942",0.42
EZA_New Form and Resolve Android #16,Super,TEQ,,"12,155",0.39,"10,627",0.26,"6,411",0.45,,"14,155",0.44,"12,627",0.33,"8,411",0.53,,"16,755",0.4,"16,027",0.49,"11,411",0.64
EZA_Unmeasurable Super Combat Power Super Saiyan 3 Gohan (Teen),Super,INT,,"12,123",0.38,"12,643",1.07,"5,914",0.15,,"14,123",0.43,"14,643",1.09,"7,914",0.26,,"17,123",0.51,"17,643",1.03,"10,914",0.41
EZA_Savage and Sly Majin Buu (Pure) (Babidi),Extreme,INT,,"12,807",0.6,"10,141",0.06,"6,554",0.53,,"14,807",0.64,"12,141",0.14,"8,554",0.61,,"17,807",0.7,"15,141",0.19,"11,554",0.7
EZA_Intensely Trained Body and Mind Super Paikuhan,Super,STR,,"11,940",0.32,"10,972",0.4,"5,936",0.16,,"13,940",0.38,"12,972",0.46,"7,936",0.27,,"16,940",0.45,"16,372",0.6,"10,536",0.23
EZA_Predatory Urge Android #21 (Transformed),Extreme,STR,,"10,915",0,"12,164",0.88,"5,110",-0.33,,"12,915",0.07,"14,164",0.91,"7,110",-0.18,,"15,915",0.17,"17,564",1,"9,710",-0.15
EZA_Ruled by Bloodlust Android #17,Extreme,AGL,,"12,850",0.61,"10,993",0.41,"5,480",-0.11,,"14,850",0.65,"12,993",0.47,"7,480",0.02,,"17,450",0.6,"15,993",0.48,"10,880",0.39
EZA_Hell-Forged Warrior Hell Fighter #17,Extreme,INT,,"12,033",0.35,"11,198",0.49,"5,541",-0.07,,"14,033",0.4,"13,198",0.54,"7,541",0.06,,"17,033",0.48,"16,198",0.54,"10,541",0.23
EZA_Proud Bloodline Bulpan,Super,AGL,,"11,560",0.2,"10,111",0.05,"6,005",0.21,,"13,560",0.26,"12,111",0.13,"8,005",0.31,,"16,160",0.24,"15,111",0.18,"11,405",0.63
EZA_Beyond Destiny Karoly,Super,TEQ,,"12,612",0.54,"10,557",0.23,"5,143",-0.31,,"14,612",0.58,"12,557",0.3,"7,143",-0.16,,"17,212",0.53,"15,957",0.46,"10,143",0.05
EZA_Energetic Fighter Pandel,Super,INT,,"11,278",0.11,"10,211",0.09,"6,130",0.28,,"13,278",0.18,"12,211",0.17,"8,130",0.38,,"16,278",0.27,"15,211",0.21,"11,130",0.51
EZA_Father and Son Limit-Breakers Barlot,Super,STR,,"12,064",0.36,"10,825",0.34,"6,059",0.24,,"14,064",0.41,"12,825",0.4,"8,059",0.34,,"17,064",0.49,"16,225",0.55,"10,659",0.29
EZA_True Value of the Potara Vegetto,Super,TEQ,,"12,645",0.55,"10,589",0.24,"6,399",0.44,,"14,645",0.59,"12,589",0.31,"8,399",0.53,,"17,245",0.54,"15,989",0.47,"11,399",0.63
EZA_Destruction Descending Buu (Super),Super,TEQ,,"12,124",0.38,"11,307",0.53,"5,954",0.18,,"14,124",0.43,"13,307",0.58,"7,954",0.28,,"16,724",0.39,"16,707",0.72,"10,954",0.43
EZA_Rising Wickedness Janembu,Super,TEQ,,"14,463",1.12,"11,273",0.52,"6,467",0.48,,"16,463",1.14,"13,273",0.57,"8,467",0.56,,"19,063",1.04,"16,673",0.7,"11,467",0.66
EZA_Fusion Fighter's Attack Vegetto,Super,INT,,"12,448",0.48,"10,719",0.3,"6,791",0.67,,"14,448",0.53,"12,719",0.36,"8,791",0.74,,"17,448",0.6,"15,719",0.38,"11,791",0.81
EZA_Trustworthy Rival Vegeta,Super,INT,,"11,492",0.18,"11,661",0.68,"5,828",0.1,,"13,492",0.24,"13,661",0.72,"7,828",0.21,,"16,492",0.33,"16,661",0.7,"10,828",0.37
EZA_Oozing Terror Cellza,Super,INT,,"12,814",0.6,"13,195",1.29,"4,888",-0.46,,"14,814",0.64,"15,195",1.3,"6,888",-0.3,,"17,814",0.7,"18,195",1.22,"9,888",-0.07
EZA_The Hope of the Universe Goku,Super,STR,,"14,398",1.1,"10,448",0.19,"5,891",0.14,,"16,398",1.12,"12,448",0.26,"7,891",0.25,,"19,398",1.14,"15,848",0.43,"10,491",0.21
EZA_Ruthless Evil Fusion Coolieza,Super,STR,,"13,226",0.73,"11,383",0.56,"6,947",0.77,,"15,226",0.76,"13,383",0.61,"8,947",0.83,,"18,226",0.81,"16,783",0.74,"11,547",0.7
EZA_Boundless Divine Power Whirus,Super,PHY,,"12,540",0.51,"11,987",0.81,"6,536",0.52,,"14,540",0.56,"13,987",0.84,"8,536",0.6,,"17,940",0.73,"16,987",0.81,"11,136",0.51
EZA_Integration of Skills Chiaoman,Super,PHY,,"14,051",0.99,"10,669",0.28,"7,429",1.05,,"16,051",1.01,"12,669",0.34,"9,429",1.09,,"19,451",1.15,"15,669",0.37,"12,029",0.92
EZA_God's Effortless Controlling Aura Super Saiyan God Goku,Super,TEQ,,"9,800",-0.35,"11,618",0.66,"6,350",0.41,,"11,800",-0.27,"13,618",0.7,"8,350",0.5,,"14,400",-0.25,"17,018",0.82,"11,350",0.61
EZA_Devastating Fighting Spirit of God Super Saiyan God Vegeta,Super,STR,,"9,924",-0.31,"11,519",0.62,"6,411",0.45,,"11,924",-0.23,"13,519",0.67,"8,411",0.53,,"14,924",-0.11,"16,919",0.79,"11,011",0.45
EZA_Power for the Death-Match Vegeta (Giant Ape),Extreme,AGL,,"11,081",0.05,"11,120",0.46,"6,244",0.35,,"13,081",0.12,"13,120",0.51,"8,244",0.44,,"15,681",0.1,"16,120",0.52,"11,644",0.75
EZA_Atrocious Crackdown Raditz (Giant Ape),Extreme,STR,,"12,064",0.36,"10,432",0.18,"6,550",0.53,,"14,064",0.41,"12,432",0.25,"8,550",0.61,,"17,064",0.49,"15,832",0.42,"11,150",0.52
EZA_Outcome of Hardship Goku (Youth) (Giant Ape),Super,PHY,,"12,679",0.56,"10,482",0.2,"6,183",0.31,,"14,679",0.6,"12,482",0.27,"8,183",0.41,,"18,079",0.77,"15,482",0.3,"10,783",0.35
EZA_Determined to Evolve Super Saiyan God SS Vegeta,Super,AGL,,"10,557",-0.11,"10,989",0.41,"6,467",0.48,,"12,557",-0.04,"12,989",0.46,"8,467",0.56,,"15,157",-0.04,"15,989",0.47,"11,867",0.85
EZA_New Realms of Saiyan Power Super Saiyan God SS Vegeta,Super,STR,,"11,277",0.11,"10,759",0.31,"6,149",0.29,,"13,277",0.17,"12,759",0.38,"8,149",0.39,,"16,277",0.27,"16,159",0.53,"10,749",0.33
EZA_Ascending to Godhood Super Saiyan God SS Vegeta,Super,PHY,,"12,123",0.38,"9,936",-0.02,"6,754",0.65,,"14,123",0.43,"11,936",0.07,"8,754",0.72,,"17,523",0.62,"14,936",0.12,"11,354",0.61
EZA_Shopping with Dad Bulla,Super,TEQ,,"9,197",-0.54,"10,243",0.11,"5,347",-0.19,,"11,197",-0.45,"12,243",0.18,"7,347",-0.05,,"13,797",-0.42,"15,643",0.36,"10,347",0.14
EZA_Proudest Moment Brianne de Chateau,Super,INT,,"10,292",-0.2,"11,857",0.75,"6,307",0.39,,"12,292",-0.12,"13,857",0.79,"8,307",0.47,,"15,292",0,"16,857",0.77,"11,307",0.59
EZA_Vow of Happiness Chi-Chi,Super,STR,,"10,336",-0.18,"9,497",-0.19,"5,710",0.03,,"12,336",-0.11,"11,497",-0.1,"7,710",0.15,,"15,336",0.01,"14,897",0.11,"10,310",0.13
EZA_Immaculately Innocent Approach Chi-Chi (Youth),Super,PHY,,"9,655",-0.4,"11,704",0.69,"6,816",0.69,,"11,655",-0.32,"13,704",0.74,"8,816",0.75,,"15,055",-0.07,"16,704",0.71,"11,416",0.64
EZA_Heinous Attack Cooler (Final Form),Extreme,TEQ,,"12,550",0.52,"10,677",0.28,"6,108",0.27,,"14,550",0.56,"12,677",0.35,"8,108",0.37,,"17,150",0.51,"16,077",0.5,"11,108",0.5
EZA_Burning Hot Tenacity Super Saiyan Vegeta,Super,TEQ,,"11,411",0.16,"11,917",0.78,"5,173",-0.29,,"13,411",0.22,"13,917",0.82,"7,173",-0.15,,"16,011",0.2,"17,317",0.92,"10,173",0.06
EZA_A Shot at Victory Piccolo,Super,STR,,"12,525",0.51,"10,876",0.36,"5,916",0.15,,"14,525",0.55,"12,876",0.42,"7,916",0.26,,"17,525",0.62,"16,276",0.57,"10,516",0.22
EZA_Magnificent Squadron Thouser (Cooler's Armored Squad),Extreme,PHY,,"11,710",0.25,"12,367",0.96,"6,465",0.48,,"13,710",0.31,"14,367",0.99,"8,465",0.56,,"17,110",0.5,"17,367",0.94,"11,065",0.48
EZA_Furious Charge Super Saiyan Bardock,Super,TEQ,,"12,073",0.37,"10,926",0.38,"6,046",0.23,,"14,073",0.42,"12,926",0.44,"8,046",0.33,,"16,673",0.38,"16,326",0.59,"11,046",0.47
EZA_Chance of a Super Evolution Super Saiyan 2 Bardock,Super,STR,,"13,048",0.67,"10,479",0.2,"6,108",0.27,,"15,048",0.71,"12,479",0.27,"8,108",0.37,,"18,048",0.76,"15,879",0.44,"10,708",0.31
EZA_Courage in the Heat of Battle Super Saiyan Bardock,Super,PHY,,"13,421",0.79,"10,328",0.14,"6,113",0.27,,"15,421",0.82,"12,328",0.21,"8,113",0.37,,"18,821",0.98,"15,328",0.25,"10,713",0.31
EZA_Sacred Power of Time Supreme Kai of Time (Power of Time Unleashed),Super,TEQ,,"14,405",1.1,"11,271",0.52,"6,839",0.7,,"16,405",1.12,"13,271",0.57,"8,839",0.77,,"19,005",1.03,"16,671",0.7,"11,839",0.84
EZA_Hero Who Unites the World Great Saiyaman 3,Super,TEQ,,"13,221",0.73,"11,269",0.52,"7,083",0.85,,"15,221",0.76,"13,269",0.57,"9,083",0.9,,"17,821",0.7,"16,669",0.7,"12,083",0.95
EZA_The Golden Strongest Form Golden Cooler,Extreme,TEQ,,"12,172",0.4,"12,555",1.04,"6,351",0.41,,"14,172",0.45,"14,555",1.06,"8,351",0.5,,"16,772",0.41,"17,955",1.14,"11,351",0.61
EZA_Furious Researcher Super Fu,Extreme,INT,,"12,590",0.53,"13,113",1.26,"5,443",-0.13,,"14,590",0.57,"15,113",1.27,"7,443",0,,"17,590",0.63,"18,113",1.19,"10,443",0.19
EZA_Limit-Breaking Super Power Super Saiyan 3 Goku (Xeno),Super,STR,,"13,150",0.71,"12,444",0.99,"6,002",0.2,,"15,150",0.74,"14,444",1.02,"8,002",0.31,,"18,150",0.79,"17,844",1.1,"10,602",0.26
EZA_Creation of a New History Sealas,Extreme,STR,,"12,946",0.64,"13,027",1.22,"5,023",-0.38,,"14,946",0.68,"15,027",1.24,"7,023",-0.23,,"17,946",0.73,"18,427",1.29,"9,623",-0.19
EZA_Roused Prince Super Saiyan 3 Vegeta (Xeno),Super,PHY,,"11,753",0.26,"12,834",1.15,"6,210",0.33,,"13,753",0.32,"14,834",1.16,"8,210",0.42,,"17,153",0.51,"17,834",1.09,"10,810",0.36
EZA_Swelling Power of Evil Super Saiyan Cumber (Giant Ape Cumber),Extreme,PHY,,"10,078",-0.27,"13,337",1.35,"6,421",0.45,,"12,078",-0.19,"15,337",1.35,"8,421",0.54,,"15,478",0.05,"18,337",1.26,"11,021",0.46
EZA_Returning from the Otherworld Super Saiyan 2 Goku (Angel),Super,TEQ,,"12,177",0.4,"10,975",0.4,"5,920",0.16,,"14,177",0.45,"12,975",0.46,"7,920",0.26,,"16,777",0.41,"16,375",0.6,"10,920",0.41
EZA_Flaring Battle Impulse Super Saiyan God Goku,Super,AGL,,"11,795",0.28,"10,817",0.34,"7,272",0.96,,"13,795",0.33,"12,817",0.4,"9,272",1,,"16,395",0.3,"15,817",0.42,"12,672",1.22
EZA_Imprinted Discipline Whis,Super,TEQ,,"12,064",0.36,"9,940",-0.02,"7,165",0.9,,"14,064",0.41,"11,940",0.07,"9,165",0.95,,"16,664",0.38,"15,340",0.26,"12,165",0.99
EZA_Guide to the New Beyond Whis,Super,INT,,"11,941",0.32,"10,236",0.1,"6,858",0.71,,"13,941",0.38,"12,236",0.18,"8,858",0.78,,"16,941",0.45,"15,236",0.22,"11,858",0.84
EZA_Wayward God Beerus,Super,INT,,"11,586",0.21,"10,613",0.25,"6,061",0.24,,"13,586",0.27,"12,613",0.32,"8,061",0.34,,"16,586",0.36,"15,613",0.35,"11,061",0.48
EZA_Accelerated Battle Super Saiyan God Goku,Super,INT,,"12,556",0.52,"11,268",0.52,"5,260",-0.24,,"14,556",0.56,"13,268",0.57,"7,260",-0.1,,"17,556",0.63,"16,268",0.57,"10,260",0.1
EZA_Divine Power Within Super Saiyan God Goku,Super,STR,,"14,706",1.2,"11,158",0.47,"4,574",-0.65,,"16,706",1.21,"13,158",0.53,"6,574",-0.48,,"19,706",1.22,"16,558",0.67,"9,174",-0.4
EZA_Drive to Win Super Saiyan God SS Goku,Super,STR,,"13,087",0.69,"10,610",0.25,"6,068",0.24,,"15,087",0.72,"12,610",0.32,"8,068",0.34,,"18,087",0.77,"16,010",0.48,"10,668",0.29
EZA_Outburst of Emotions Super Saiyan 2 Vegeta & Bulma,Super,STR,,"8,067",-0.9,"11,379",0.56,"7,109",0.86,,"10,067",-0.8,"13,379",0.61,"9,109",0.91,,"13,067",-0.62,"16,779",0.74,"11,709",0.78
EZA_Reckless Strength Super Saiyan Gotenks,Super,AGL,,"12,104",0.38,"10,901",0.37,"5,817",0.09,,"14,104",0.42,"12,901",0.43,"7,817",0.21,,"16,704",0.39,"15,901",0.45,"11,217",0.55
EZA_Victory at Hand Gotenks,Super,STR,,"11,238",0.1,"11,297",0.53,"5,756",0.06,,"13,238",0.16,"13,297",0.58,"7,756",0.17,,"16,238",0.26,"16,697",0.71,"10,356",0.15
EZA_Swirling Ambition Turles (Giant Ape),Extreme,AGL,,"12,912",0.63,"10,131",0.06,"6,001",0.2,,"14,912",0.67,"12,131",0.14,"8,001",0.31,,"17,512",0.61,"15,131",0.19,"11,401",0.63
EZA_Rising to the Challenge Goku,Super,PHY,,"12,791",0.59,"10,469",0.2,"5,639",-0.01,,"14,791",0.63,"12,469",0.27,"7,639",0.11,,"18,191",0.8,"15,469",0.3,"10,239",0.09
EZA_Roaring Hatred from Hell Cell (Perfect Form) (GT),Extreme,INT,,"12,402",0.47,"10,926",0.38,"5,916",0.15,,"14,402",0.51,"12,926",0.44,"7,916",0.26,,"17,402",0.58,"15,926",0.45,"10,916",0.41
EZA_Victory Clincher Goku (GT),Super,STR,,"11,776",0.27,"11,070",0.44,"6,036",0.22,,"13,776",0.33,"13,070",0.5,"8,036",0.33,,"16,776",0.41,"16,470",0.64,"10,636",0.28
EZA_Thundering Wrath from Hell Freeza (Final Form) (GT),Extreme,PHY,,"12,030",0.35,"10,776",0.32,"6,288",0.37,,"14,030",0.4,"12,776",0.38,"8,288",0.46,,"17,430",0.59,"15,776",0.4,"10,888",0.39
EZA_Princess Oto's Scorn Oceanus Shenron (Princess Oto),Extreme,INT,,"9,104",-0.57,"11,411",0.57,"7,068",0.84,,"11,104",-0.48,"13,411",0.62,"9,068",0.89,,"14,104",-0.33,"16,411",0.62,"12,068",0.94
EZA_Secret Behind the Sneezes Launch,Super,PHY,,"9,848",-0.34,"11,805",0.73,"6,192",0.32,,"11,848",-0.26,"13,805",0.77,"8,192",0.41,,"15,248",-0.02,"16,805",0.75,"10,792",0.35
EZA_Power To Overcome Adversity Mai (Future),Super,INT,,"13,768",0.9,"10,886",0.36,"7,288",0.97,,"15,768",0.93,"12,886",0.43,"9,288",1.01,,"18,768",0.96,"15,886",0.44,"12,288",1.04
EZA_A Lesson in Good and Evil Gowasu & Zamasu,Super,PHY,,"12,259",0.42,"11,764",0.72,"6,945",0.77,,"14,259",0.47,"13,764",0.76,"8,945",0.82,,"17,659",0.65,"16,764",0.74,"11,545",0.7
EZA_Victor of the Future Super Saiyan Trunks (Future),Super,TEQ,,"11,435",0.16,"12,312",0.94,"6,671",0.6,,"13,435",0.22,"14,312",0.97,"8,671",0.67,,"16,035",0.2,"17,712",1.05,"11,671",0.76
EZA_Human Pride Super Saiyan Trunks (Future) & Mai (Future),Super,AGL,,"10,337",-0.18,"12,038",0.83,"7,563",1.13,,"12,337",-0.11,"14,038",0.86,"9,563",1.16,,"14,937",-0.1,"17,038",0.83,"12,963",1.36
EZA_Protector of Hope Super Saiyan Gohan (Future),Super,TEQ,,"11,791",0.28,"10,764",0.31,"5,225",-0.26,,"13,791",0.33,"12,764",0.38,"7,225",-0.12,,"16,391",0.3,"16,164",0.53,"10,225",0.09
EZA_Utopia Realized Zamasu,Extreme,INT,,"11,341",0.13,"10,909",0.37,"6,566",0.54,,"13,341",0.19,"12,909",0.43,"8,566",0.62,,"16,341",0.29,"15,909",0.45,"11,566",0.71
EZA_Unwavering Conviction Super Saiyan Trunks (Future),Super,STR,,"11,965",0.33,"12,354",0.95,"4,448",-0.72,,"13,965",0.38,"14,354",0.98,"6,448",-0.54,,"16,965",0.46,"17,754",1.07,"9,048",-0.46
EZA_Overcoming Mental Weakness Bota Magetta,Super,INT,,"14,735",1.21,"10,377",0.16,"5,183",-0.28,,"16,735",1.22,"12,377",0.23,"7,183",-0.14,,"19,735",1.23,"15,377",0.27,"10,183",0.07
EZA_Demonstration of True Strength Frost (Full Power),Extreme,STR,,"9,444",-0.47,"12,241",0.91,"5,490",-0.1,,"11,444",-0.38,"14,241",0.94,"7,490",0.03,,"14,444",-0.24,"17,641",1.03,"10,090",0.02
EZA_Dominance Through Destruction Champa,Extreme,PHY,,"13,374",0.78,"10,387",0.16,"6,454",0.47,,"15,374",0.81,"12,387",0.24,"8,454",0.56,,"18,774",0.96,"15,387",0.27,"11,054",0.47
EZA_Returning Demon Lord Demon God Dabura (Xeno),Extreme,AGL,,"14,701",1.2,"12,010",0.82,"5,798",0.08,,"16,701",1.21,"14,010",0.85,"7,798",0.2,,"19,301",1.11,"17,010",0.82,"11,198",0.54
EZA_Power-Up Through the Mask Black Masked Saiyan,Extreme,AGL,,"11,169",0.08,"12,593",1.05,"6,469",0.48,,"13,169",0.14,"14,593",1.07,"8,469",0.56,,"15,769",0.13,"17,593",1.01,"11,869",0.85
EZA_Brutal Berserker Super Saiyan 4 Broly,Extreme,TEQ,,"18,669",2.45,"15,323",2.15,"7,825",1.29,,"20,669",2.41,"17,323",2.11,"9,825",1.31,,"23,269",2.21,"20,723",2.07,"12,825",1.29
EZA_Ingenious Scientist's Sorcery Demon Goddess Towa,Extreme,INT,,"15,679",1.51,"10,891",0.37,"6,707",0.62,,"17,679",1.51,"12,891",0.43,"8,707",0.69,,"20,679",1.49,"15,891",0.44,"11,707",0.77
EZA_Warrior Shrouded in Darkness Dark Masked King,Extreme,INT,,"13,366",0.78,"12,098",0.85,"5,987",0.2,,"15,366",0.81,"14,098",0.88,"7,987",0.3,,"18,366",0.85,"17,098",0.85,"10,987",0.44
EZA_Mastery of Dark Power Super Mira,Extreme,STR,,"10,619",-0.09,"13,033",1.23,"6,193",0.32,,"12,619",-0.02,"15,033",1.24,"8,193",0.41,,"15,619",0.09,"18,433",1.3,"10,793",0.35
EZA_True Power of a Demon God Demigra (Makyouka Form),Extreme,PHY,,"12,131",0.38,"12,374",0.96,"6,262",0.36,,"14,131",0.43,"14,374",0.99,"8,262",0.45,,"17,531",0.62,"17,374",0.94,"10,862",0.38
EZA_All-Piercing Fusion Power Super Saiyan 4 Vegetto (Xeno),Super,PHY,,"18,474",2.39,"16,488",2.62,"6,466",0.48,,"20,474",2.35,"18,488",2.55,"8,466",0.56,,"23,874",2.38,"21,488",2.32,"11,066",0.48
EZA_Grisly Destruction Android #18 (Future),Extreme,AGL,,"13,708",0.88,"10,460",0.19,"5,943",0.17,,"15,708",0.91,"12,460",0.26,"7,943",0.28,,"18,308",0.83,"15,460",0.3,"11,343",0.61
EZA_Ruthless Pressure Android #17 (Future),Extreme,PHY,,"13,336",0.77,"10,760",0.31,"5,756",0.06,,"15,336",0.8,"12,760",0.38,"7,756",0.17,,"18,736",0.95,"15,760",0.4,"10,356",0.15
EZA_Magnificent Swordsmanship Trunks (Teen),Super,PHY,,"11,847",0.29,"12,148",0.87,"6,671",0.6,,"13,847",0.35,"14,148",0.9,"8,671",0.67,,"17,248",0.54,"17,148",0.86,"11,271",0.57
EZA_Hero on a Mission Tapion,Super,TEQ,,"12,463",0.49,"10,959",0.39,"5,936",0.16,,"14,463",0.53,"12,959",0.45,"7,936",0.27,,"17,063",0.49,"16,359",0.6,"10,936",0.42
Wounded Honor Yamcha,Super,AGL,,"6,400",-1.43,"6,137",-1.55,"3,921",-1.04,,"7,600",-1.54,"7,337",-1.68,"5,121",-1.27,,"9,160",-1.71,"9,137",-1.83,"7,161",-1.33
Absolute Loss Yamcha,Super,TEQ,,"5,772",-1.63,"6,011",-1.6,"4,392",-0.75,,"6,972",-1.73,"7,211",-1.73,"5,592",-1.01,,"8,532",-1.88,"9,251",-1.79,"7,392",-1.23
Proof of Tough Trainings Super Saiyan Goku,Super,AGL,,"7,567",-1.06,"7,165",-1.13,"3,630",-1.21,,"8,767",-1.19,"8,365",-1.29,"4,830",-1.43,,"10,327",-1.38,"10,165",-1.48,"6,870",-1.47
Innocent Onslaught Arale Norimaki,Super,INT,,"8,447",-0.78,"6,579",-1.37,"3,924",-1.03,,"9,647",-0.92,"7,779",-1.51,"5,124",-1.27,,"11,447",-1.07,"9,579",-1.68,"6,924",-1.44
Surpassing the Limits Super Saiyan 2 Goku,Super,TEQ,,"7,690",-1.02,"7,049",-1.18,"4,113",-0.92,,"8,890",-1.15,"8,249",-1.33,"5,313",-1.17,,"10,450",-1.35,"10,289",-1.44,"7,113",-1.36
Corroding Menace Super Baby 1,Extreme,AGL,,"8,315",-0.82,"7,614",-0.95,"4,450",-0.72,,"9,515",-0.96,"8,814",-1.12,"5,650",-0.98,,"11,075",-1.17,"10,614",-1.33,"7,690",-1.09
Thrill of the Fight Beerus,Super,AGL,,"9,113",-0.57,"7,654",-0.94,"5,036",-0.37,,"10,313",-0.72,"8,854",-1.1,"6,236",-0.66,,"11,873",-0.95,"10,654",-1.32,"8,276",-0.82
"Total Might, Full Power Super saiyan Goku",Super,TEQ,,"8,400",-0.8,"7,342",-1.06,"4,748",-0.54,,"10,400",-0.69,"9,342",-0.92,"6,748",-0.38,,"13,000",-0.64,"12,742",-0.62,"9,748",-0.13
Fearful World Domination Demon King Piccolo,Extreme,TEQ,,"9,080",-0.58,"7,002",-1.2,"4,833",-0.49,,"10,280",-0.73,"8,202",-1.35,"6,033",-0.77,,"11,840",-0.96,"10,242",-1.46,"7,833",-1.02
Burning Soul Super Saiyan Bardock,Super,INT,,"9,481",-0.45,"7,470",-1.01,"5,082",-0.34,,"10,681",-0.61,"8,670",-1.17,"6,282",-0.64,,"12,481",-0.78,"10,470",-1.38,"8,082",-0.91
Terrifying Plot Demon King Piccolo (Elder),Extreme,INT,,"9,760",-0.37,"7,546",-0.98,"3,813",-1.1,,"10,960",-0.53,"8,746",-1.14,"5,013",-1.33,,"12,760",-0.71,"10,546",-1.35,"6,813",-1.5
Birth of a Hero Gohan (Teen),Super,STR,,"8,315",-0.82,"7,682",-0.93,"4,365",-0.77,,"9,515",-0.96,"8,882",-1.09,"5,565",-1.03,,"11,315",-1.11,"10,922",-1.23,"7,125",-1.35
Game-Reversing Technique Goku (Kaioken),Super,PHY,,"7,750",-1,"8,260",-0.69,"4,025",-0.97,,"8,950",-1.13,"9,460",-0.87,"5,225",-1.21,,"10,990",-1.2,"11,260",-1.11,"6,785",-1.51
Almightt Cleave Cooler,Extreme,AGL,,"6,955",-1.25,"7,852",-0.86,"4,833",-0.49,,"8,155",-1.37,"9,052",-1.03,"6,033",-0.77,,"9,715",-1.55,"10,852",-1.25,"8,073",-0.91
